time,earth_connectivity,mars_connectivity,total_connectivity,active_fso_links,data_rate_tbps,interplanetary_links,controller_coverage,traffic_scheduled,blocked_by_sun,blocked_by_earth,blocked_by_mars,acquisition_success_rate,navigation_assisted_pct,average_latency_ms
0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,32,1,1,0.0,0.0,inf
24.0,0.0,0.0,0.0,9,0.009,5,100.0,8,32,0,0,17.647058823529413,33.33333333333333,inf
48.0,62.5,75.0,68.75,21,0.020962584972130174,11,100.0,8,32,0,0,28.000000000000004,23.809523809523807,2222.378028913123
72.0,75.0,75.0,75.0,25,0.02494690614231224,13,100.0,8,32,0,0,24.752475247524753,28.000000000000004,2251.6595859799527
96.0,75.0,100.0,87.5,32,0.03171114611137861,19,100.0,8,32,0,0,25.6,28.125,2149.74056666922
120.0,100.0,100.0,100.0,44,0.04382367549036196,29,100.0,8,32,0,0,30.344827586206897,29.545454545454547,2006.5418109314812
144.0,100.0,100.0,100.0,56,0.05586639612346559,35,100.0,8,32,0,0,34.355828220858896,23.214285714285715,1964.12211415662
168.0,100.0,100.0,100.0,65,0.06493689503419244,39,100.0,8,32,0,0,33.33333333333333,21.53846153846154,1924.5032566239022
192.0,100.0,100.0,100.0,78,0.07712083509069124,47,100.0,8,33,0,0,36.27906976744186,17.94871794871795,1920.7308657289616
216.0,100.0,100.0,100.0,85,0.08421133223382739,52,100.0,8,33,0,0,35.12396694214876,18.823529411764707,1967.7157509375177
240.0,100.0,100.0,100.0,92,0.09170918618705931,55,100.0,8,33,0,0,35.11450381679389,17.391304347826086,1966.1433062226643
264.0,100.0,100.0,100.0,93,0.09316367681784975,56,100.0,8,32,0,0,33.096085409252666,18.27956989247312,1907.643078828426
288.0,100.0,100.0,100.0,97,0.09724720980381364,59,100.0,8,32,0,0,32.659932659932664,19.587628865979383,1885.122495354977
312.0,100.0,100.0,100.0,101,0.10096073406729383,62,100.0,8,32,0,0,31.962025316455694,18.81188118811881,1890.0567096350724
336.0,100.0,100.0,100.0,106,0.10573661672295002,66,100.0,8,32,0,0,32.02416918429003,19.81132075471698,1893.1081677834247
360.0,100.0,100.0,100.0,112,0.1119610041329749,70,100.0,8,32,0,0,32.18390804597701,19.642857142857142,1876.8953205380399
384.0,100.0,100.0,100.0,118,0.11856083751214658,75,100.0,8,32,0,0,32.86908077994429,20.33898305084746,1813.7081694215046
408.0,100.0,100.0,100.0,123,0.12320076858585664,78,100.0,8,32,0,0,32.975871313672926,19.51219512195122,1866.5563599823627
432.0,100.0,100.0,100.0,125,0.12467850324600012,80,100.0,8,32,0,0,32.72251308900523,20.0,1762.7923256635843
456.0,100.0,100.0,100.0,127,0.12623964353706613,73,100.0,8,32,0,0,31.909547738693465,20.47244094488189,1756.6905098331108
480.0,100.0,100.0,100.0,130,0.1296440111395945,76,100.0,8,40,0,0,31.784841075794624,20.0,1786.4179875666107
504.0,100.0,100.0,100.0,130,0.13022182137643257,76,100.0,8,32,0,0,30.58823529411765,20.0,1739.8472989518193
528.0,100.0,100.0,100.0,136,0.13599907944884132,81,100.0,8,32,0,0,31.12128146453089,20.588235294117645,1745.987144737421
552.0,100.0,100.0,100.0,140,0.13950600603325142,84,100.0,8,32,0,0,30.63457330415755,21.428571428571427,1700.6482330814522
576.0,100.0,100.0,100.0,142,0.1426476405507544,85,100.0,8,32,0,0,30.2771855010661,21.12676056338028,1685.767152561488
600.0,100.0,100.0,100.0,147,0.14707999037934943,90,100.0,8,32,0,0,30.246913580246915,21.08843537414966,1708.3674141226336
624.0,100.0,100.0,100.0,153,0.15197452299602118,94,100.0,8,32,0,0,30.784708249496983,20.26143790849673,1699.421841023856
648.0,100.0,100.0,100.0,159,0.15920080822524565,99,100.0,8,32,0,0,31.176470588235293,20.754716981132077,1585.9539295464635
672.0,100.0,100.0,100.0,163,0.16397102094553004,101,100.0,8,32,0,0,31.406551059730248,20.245398773006134,1586.9210497376866
696.0,100.0,100.0,100.0,165,0.1649829015803329,103,100.0,8,32,0,0,30.95684803001876,20.0,1592.9312854410282
720.0,100.0,100.0,100.0,171,0.17035184787232735,109,100.0,8,32,0,0,31.54981549815498,19.883040935672515,1513.9488565643237
744.0,100.0,100.0,100.0,174,0.1741673551367627,112,100.0,8,32,0,0,31.464737793851715,20.689655172413794,1544.6790369499706
768.0,100.0,100.0,100.0,177,0.17710436600773136,115,100.0,8,32,0,0,31.607142857142854,20.33898305084746,1532.5625657582275
792.0,100.0,100.0,100.0,180,0.18012380234799724,118,100.0,8,32,0,0,31.57894736842105,20.555555555555554,1542.2249367526929
816.0,100.0,100.0,100.0,183,0.1830973072768072,121,100.0,8,32,0,0,31.770833333333332,20.76502732240437,1470.9607128758998
840.0,100.0,100.0,100.0,184,0.18445608086796894,122,100.0,8,32,0,0,31.399317406143346,21.195652173913043,1436.9760792038066
864.0,100.0,100.0,100.0,187,0.18698316764945522,124,100.0,8,32,0,0,31.48148148148148,20.855614973262032,1431.929195408365
888.0,100.0,100.0,100.0,189,0.18943467977005948,126,100.0,8,32,0,0,31.343283582089555,21.164021164021165,1491.3507613062895
912.0,100.0,100.0,100.0,189,0.1889350131912251,126,100.0,8,32,0,0,30.983606557377048,21.164021164021165,1497.700837945977
